distance_m,rpm_800,rpm_850,rpm_900,rpm_950,rpm_1000,rpm_1050,rpm_1100,rpm_1150,rpm_1200,rpm_1250,rpm_1300,rpm_1350,rpm_1400,rpm_1450,rpm_1500,rpm_1550,rpm_1600,rpm_1650,rpm_1700,rpm_1750,rpm_1800,rpm_1850,rpm_1900,rpm_1950,rpm_2000,rpm_2050,rpm_2100,rpm_2150,rpm_2200,rpm_2250,rpm_2300,rpm_2350,rpm_2400,rpm_2450,rpm_2500,rpm_2550,rpm_2600,rpm_2650,rpm_2700,rpm_2750,rpm_2800,rpm_2850,rpm_2900,rpm_2950,rpm_3000
1.000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.093750,0.625000,0.968750,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.984375,0.984375,0.984375,0.984375,0.984375,0.984375,0.984375,0.984375,0.984375,0.984375,0.984375,0.968750,0.968750,0.968750,0.968750,0.968750,0.968750
1.500,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.078125,0.484375,0.953125,1.000000,1.000000,0.984375,1.000000,0.953125,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.984375,0.984375,0.984375,0.984375,0.968750,0.968750,0.968750,0.968750,0.968750,0.953125,0.953125
2.000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.046875,0.609375,0.984375,1.000000,1.000000,1.000000,1.000000,1.000000,0.953125,0.781250,0.859375,0.953125,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.968750,0.968750,0.968750,0.968750,0.968750
2.500,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.093750,0.578125,0.984375,1.000000,0.953125,0.968750,0.984375,1.000000,1.000000,1.000000,0.953125,0.875000,0.781250,0.890625,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.984375,0.984375,0.968750,0.968750,0.968750,0.968750,0.953125,0.937500,0.937500,0.937500,0.937500
3.000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.078125,0.625000,0.984375,1.000000,0.937500,0.828125,0.812500,0.984375,1.000000,1.000000,1.000000,0.984375,0.968750,0.875000,0.843750,0.703125,0.937500,0.984375,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.984375,0.984375,0.984375,0.984375,0.984375,0.984375,0.984375,0.984375,0.968750,0.968750
3.500,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.093750,0.625000,0.953125,1.000000,0.906250,0.843750,0.921875,0.984375,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.953125,0.921875,0.750000,0.671875,0.875000,0.968750,0.968750,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.984375,0.984375,0.984375,0.984375
4.000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.109375,0.578125,0.984375,0.968750,0.984375,0.828125,0.906250,0.968750,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.953125,0.812500,0.625000,0.734375,0.906250,0.968750,1.000000,1.000000,1.000000,1.000000,0.984375,0.984375,0.984375,0.984375,0.984375,0.984375,0.984375,0.984375,0.984375,0.968750,0.968750,0.968750
4.500,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.078125,0.593750,0.984375,0.984375,0.921875,0.859375,0.843750,0.953125,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.953125,0.875000,0.718750,0.781250,0.828125,0.921875,1.000000,1.000000,1.000000,1.000000,0.984375,0.984375,0.984375,0.984375,0.984375,0.984375,0.984375,0.984375,0.984375,0.984375
5.000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.046875,0.593750,0.984375,1.000000,0.937500,0.906250,0.921875,0.937500,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.921875,0.890625,0.843750,0.734375,0.734375,0.921875,0.984375,0.984375,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.984375,0.984375
5.500,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.078125,0.671875,0.953125,0.984375,0.953125,0.890625,0.953125,0.984375,0.984375,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.984375,0.968750,0.953125,0.937500,0.890625,0.734375,0.750000,0.937500,0.890625,0.921875,0.968750,0.984375,0.984375,0.984375,0.984375,0.968750,0.968750,0.968750
