distance_m,interpolated_flywheel_rpm,commanded_rounded_rpm,hood_angle_deg,validated_score_probability,validated_clean_probability,validation_samples
1.000,1225.000,1225.0,70.0000,1.000000,0.000000,128
1.050,1225.000,1225.0,70.0000,0.992188,0.000000,128
1.100,1225.000,1225.0,70.0000,1.000000,0.000000,128
1.150,1225.000,1225.0,70.0000,1.000000,0.015625,128
1.200,1225.000,1225.0,70.0000,1.000000,0.078125,128
1.250,1225.000,1225.0,70.0000,0.992188,0.140625,128
1.300,1225.000,1225.0,70.0000,0.992188,0.242188,128
1.350,1225.000,1225.0,70.0000,1.000000,0.421875,128
1.400,1225.000,1225.0,70.0000,1.000000,0.578125,128
1.450,1225.000,1225.0,70.0000,1.000000,0.773438,128
1.500,1225.000,1225.0,70.0000,1.000000,0.898438,128
1.550,1228.755,1225.0,70.0000,0.992188,0.914062,128
1.600,1239.127,1250.0,70.0000,1.000000,0.898438,128
1.650,1254.782,1250.0,70.0000,1.000000,0.976562,128
1.700,1274.382,1275.0,70.0000,1.000000,0.945312,128
1.750,1296.591,1300.0,70.0000,1.000000,0.875000,128
1.800,1320.073,1325.0,70.0000,1.000000,0.804688,128
1.850,1343.491,1350.0,70.0000,1.000000,0.710938,128
1.900,1365.509,1375.0,70.0000,1.000000,0.640625,128
1.950,1384.791,1375.0,70.0000,1.000000,0.781250,128
2.000,1400.000,1400.0,70.0000,1.000000,0.703125,128
2.050,1412.109,1400.0,70.0000,1.000000,0.796875,128
2.100,1423.135,1425.0,70.0000,1.000000,0.718750,128
2.150,1433.309,1425.0,70.0000,1.000000,0.773438,128
2.200,1442.861,1450.0,70.0000,1.000000,0.742188,128
2.250,1452.020,1450.0,70.0000,1.000000,0.812500,128
2.300,1461.018,1450.0,70.0000,1.000000,0.851562,128
2.350,1470.085,1475.0,70.0000,1.000000,0.843750,128
2.400,1479.451,1475.0,70.0000,1.000000,0.929688,128
2.450,1489.345,1500.0,70.0000,1.000000,0.835938,128
2.500,1500.000,1500.0,70.0000,1.000000,0.875000,128
2.550,1511.273,1500.0,70.0000,1.000000,0.906250,128
2.600,1522.859,1525.0,70.0000,1.000000,0.898438,128
2.650,1534.742,1525.0,70.0000,1.000000,0.851562,128
2.700,1546.909,1550.0,70.0000,1.000000,0.859375,128
2.750,1559.343,1550.0,70.0000,1.000000,0.867188,128
2.800,1572.030,1575.0,70.0000,1.000000,0.835938,128
2.850,1584.955,1575.0,70.0000,1.000000,0.843750,128
2.900,1598.101,1600.0,70.0000,1.000000,0.828125,128
2.950,1611.455,1600.0,70.0000,1.000000,0.804688,128
3.000,1625.000,1625.0,70.0000,1.000000,0.812500,128
3.050,1639.018,1650.0,70.0000,1.000000,0.875000,128
3.100,1653.691,1650.0,70.0000,1.000000,0.835938,128
3.150,1668.855,1675.0,70.0000,1.000000,0.789062,128
3.200,1684.345,1675.0,70.0000,1.000000,0.851562,128
3.250,1700.000,1700.0,70.0000,1.000000,0.804688,128
3.300,1715.655,1725.0,70.0000,1.000000,0.781250,128
3.350,1731.145,1725.0,70.0000,1.000000,0.812500,128
3.400,1746.309,1750.0,70.0000,1.000000,0.710938,128
3.450,1760.982,1750.0,70.0000,1.000000,0.812500,128
3.500,1775.000,1775.0,70.0000,1.000000,0.734375,128
3.550,1788.420,1800.0,70.0000,1.000000,0.718750,128
3.600,1801.455,1800.0,70.0000,1.000000,0.726562,128
3.650,1814.170,1825.0,70.0000,1.000000,0.718750,128
3.700,1826.636,1825.0,70.0000,1.000000,0.726562,128
3.750,1838.920,1850.0,70.0000,1.000000,0.679688,128
3.800,1851.091,1850.0,70.0000,1.000000,0.750000,128
3.850,1863.216,1875.0,70.0000,1.000000,0.710938,128
3.900,1875.364,1875.0,70.0000,1.000000,0.773438,128
3.950,1887.602,1900.0,70.0000,1.000000,0.718750,128
