robot_center_distance_m,optimal_launch_angle_deg,optimal_flywheel_rpm,rounded_flywheel_rpm,learned_correction_rpm,combined_score_probability,model_only_score_probability,shot_only_score_probability,clean_score_probability,contact_score_probability,probability_band_low_rpm,probability_band_high_rpm,launch_speed_mps,lead_yaw_deg,flight_time_s,entry_angle_deg_down,impact_speed_mps,hub_opening_margin_mm,peak_height_m,nominal_classification,nominal_rim_contacts,nominal_funnel_contacts,spin_x_rpm_at_launch,spin_y_rpm_at_launch,spin_z_rpm_at_launch
1.000,70.0000,1225.000,1225.000,0.000,1.000000,1.000000,1.000000,0.000000,1.257812,1175.000,1425.000,5.686626,0.00000,0.725932,45.79144,2.610614,102.554,2.009161,funnel_score,0,1,0.000,-612.500,0.000
1.500,70.0000,1250.000,1250.000,0.000,1.000000,1.000000,1.000000,0.671875,0.328125,1200.000,1525.000,5.802679,0.00000,0.764357,49.16254,2.830076,403.638,2.065351,clean_score,0,0,0.000,-625.000,0.000
2.000,70.0000,1400.000,1400.000,0.000,1.000000,1.000000,1.000000,0.660156,0.341797,1400.000,1400.000,6.499001,0.00000,0.955858,59.02558,3.937064,454.590,2.422605,clean_score,0,0,0.000,-700.000,0.000
2.500,70.0000,1500.000,1500.000,0.000,1.000000,1.000000,1.000000,0.839844,0.167969,1275.000,1800.000,6.963215,0.00000,1.066097,62.04938,4.557924,320.567,2.679524,clean_score,0,0,0.000,-750.000,0.000
3.000,70.0000,1650.000,1650.000,0.000,1.000000,1.000000,1.000000,0.750000,0.269531,1400.000,1925.000,7.659536,0.00000,1.218978,64.84866,5.389060,383.324,3.091510,clean_score,0,0,0.000,-825.000,0.000
3.500,70.0000,1750.000,1750.000,0.000,0.998047,1.000000,1.000000,0.777344,0.267578,1525.000,2050.000,8.123751,0.00000,1.315385,66.13054,5.895322,269.219,3.383099,clean_score,0,0,0.000,-875.000,0.000
4.000,70.0000,1875.000,1875.000,0.000,0.998047,1.000000,1.000000,0.701172,0.400391,1650.000,2175.000,8.704019,0.00000,1.431393,67.37061,6.486968,263.206,3.765515,clean_score,0,0,0.000,-937.500,0.000
4.500,70.0000,2000.000,2000.000,0.000,0.992188,1.000000,1.000000,0.718750,0.382812,1775.000,2300.000,9.284287,0.00000,1.543378,68.35502,7.040678,268.672,4.166793,clean_score,0,0,0.000,-1000.000,0.000
5.000,70.0000,2100.000,2100.000,0.000,0.984375,1.000000,1.000000,0.500000,0.687500,1900.000,2425.000,9.748501,0.00000,1.630522,69.01954,7.460164,180.021,4.500592,clean_score,0,0,0.000,-1050.000,0.000
5.500,70.0000,2250.000,2250.000,0.000,0.984375,1.000000,0.984375,0.562500,0.523438,2025.000,2550.000,10.444822,0.00000,1.757687,69.87535,8.055015,306.177,5.021102,clean_score,0,0,0.000,-1125.000,0.000
6.000,70.0000,2325.000,2325.000,0.000,0.994141,1.000000,0.992188,0.464844,0.724609,2150.000,2675.000,10.792983,0.00000,1.819816,70.25603,8.338370,122.378,5.289742,clean_score,0,0,0.000,-1162.500,0.000
